,timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,timestamp_to_date,mvrv_ratio
506,1695673800,26353.01000000,26360.00000000,26330.12000000,26337.26000000,173.32192000,1695674699999,4566263.14649990,7279,86.69871000,2284034.97442460,0,2023-09-25 20:30:00,0.9997025063201987
507,1695674700,26337.27000000,26342.07000000,26282.27000000,26287.56000000,198.83551000,1695675599999,5233596.80938140,7680,76.55162000,2015172.23233100,0,2023-09-25 20:45:00,0.9990600400934277
508,1695675600,26287.56000000,26312.79000000,26276.24000000,26298.86000000,137.33939000,1695676499999,3611544.04620040,6611,67.95407000,1786980.79920580,0,2023-09-25 21:00:00,1.0001900633655478
509,1695676500,26298.85000000,26311.92000000,26276.74000000,26303.00000000,109.65845000,1695677399999,2883108.87296560,5075,55.59063000,1461594.39170040,0,2023-09-25 21:15:00,1.000204295995903
510,1695677400,26303.00000000,26306.82000000,26270.90000000,26276.01000000,135.01364000,1695678299999,3548879.52456010,4915,39.11785000,1028274.03852540,0,2023-09-25 21:30:00,0.9994989383941473
511,1695678300,26276.00000000,26279.62000000,26263.83000000,26279.61000000,87.86581000,1695679199999,2308364.38736790,3992,36.52548000,959602.91397010,0,2023-09-25 21:45:00,1.0001843974627367
512,1695679200,26279.61000000,26281.54000000,26270.00000000,26274.99000000,68.11957000,1695680099999,1789869.04144390,3669,27.84474000,731610.20241110,0,2023-09-25 22:00:00,0.9999412022932248
513,1695680100,26274.99000000,26289.12000000,26274.99000000,26284.37000000,79.32339000,1695680999999,2084972.82993190,3730,39.16020000,1029235.94147280,0,2023-09-25 22:15:00,1.000133271856418
514,1695681000,26284.37000000,26284.37000000,26275.00000000,26275.01000000,59.07913000,1695681899999,1552542.58078370,2747,16.21172000,426012.00107020,0,2023-09-25 22:30:00,0.9998220108210951
515,1695681900,26275.00000000,26292.68000000,26272.00000000,26281.85000000,95.89827000,1695682799999,2520670.94077860,4188,32.02561000,841788.62013850,0,2023-09-25 22:45:00,1.0000558401309418
516,1695682800,26281.85000000,26301.02000000,26281.84000000,26301.02000000,81.55504000,1695683699999,2144458.48886230,3706,51.03934000,1342021.56010110,0,2023-09-25 23:00:00,1.0003646625188642
517,1695683700,26301.02000000,26303.26000000,26296.26000000,26296.27000000,58.01427000,1695684599999,1525758.97784590,2947,25.67779000,675310.36889460,0,2023-09-25 23:15:00,0.9998884947176631
518,1695684600,26296.27000000,26296.27000000,26273.89000000,26273.90000000,53.45085000,1695685499999,1405073.40438240,3276,13.08614000,343996.30112390,0,2023-09-25 23:30:00,0.999574568578965
519,1695685500,26273.90000000,26316.27000000,26270.00000000,26304.81000000,124.97333000,1695686399999,3286343.54970630,4671,69.86552000,1837102.67060060,0,2023-09-25 23:45:00,1.0005159512225457
520,1695686400,26304.80000000,26307.73000000,26286.22000000,26286.23000000,171.49414000,1695687299999,4510045.34544720,6301,78.00951000,2051431.11981490,0,2023-09-26 00:00:00,0.9996191471443927
521,1695687300,26286.19000000,26297.17000000,26271.99000000,26283.71000000,93.88384000,1695688199999,2467574.17796360,5468,52.88382000,1389890.21423890,0,2023-09-26 00:15:00,0.9999598626809104
522,1695688200,26283.71000000,26283.72000000,26250.00000000,26270.02000000,159.72741000,1695689099999,4195238.45983290,6880,63.53970000,1668946.16171650,0,2023-09-26 00:30:00,0.9999298679338017
523,1695689100,26270.02000000,26293.06000000,26266.00000000,26266.00000000,115.28829000,1695689999999,3029704.73392990,5743,53.17091000,1397295.01538480,0,2023-09-26 00:45:00,0.9997042677925551
524,1695690000,26266.01000000,26297.22000000,26255.36000000,26297.22000000,129.76156000,1695690899999,3409176.50870330,6135,86.02135000,2260044.22634090,0,2023-09-26 01:00:00,1.000695138057729
525,1695690900,26297.22000000,26299.74000000,26260.92000000,26269.15000000,169.56297000,1695691799999,4455697.43608530,5284,117.81901000,3095730.72005130,0,2023-09-26 01:15:00,0.9995202946378301
526,1695691800,26269.14000000,26269.15000000,26234.37000000,26238.66000000,193.36168000,1695692699999,5074644.44669900,6209,62.80129000,1648200.87223390,0,2023-09-26 01:30:00,0.9994602486665248
527,1695692700,26238.67000000,26297.61000000,26238.66000000,26297.60000000,144.99587000,1695693599999,3809650.25545270,6925,98.61710000,2590996.88389880,0,2023-09-26 01:45:00,1.0011217012551519
528,1695693600,26297.60000000,26313.49000000,26295.00000000,26307.27000000,140.60525000,1695694499999,3698602.30661340,5914,70.45812000,1853326.84684960,0,2023-09-26 02:00:00,1.0001494106832058
529,1695694500,26307.26000000,26326.12000000,26285.00000000,26316.72000000,199.10614000,1695695399999,5237645.92750850,6053,140.96345000,3708552.12510010,0,2023-09-26 02:15:00,1.0003019904955668
530,1695695400,26316.71000000,26320.00000000,26296.03000000,26320.00000000,75.42279000,1695696299999,1984277.04647080,4435,29.60987000,778973.36809870,0,2023-09-26 02:30:00,1.0002589956327979
531,1695696300,26319.99000000,26360.00000000,26311.87000000,26357.14000000,149.08599000,1695697199999,3926277.91070620,6458,86.78539000,2285608.57870390,0,2023-09-26 02:45:00,1.000755204131031
532,1695697200,26357.14000000,26376.26000000,26345.28000000,26347.11000000,282.41912000,1695698099999,7444970.05907330,7258,184.97064000,4876122.40158360,0,2023-09-26 03:00:00,0.9996457223607241
533,1695698100,26347.10000000,26378.72000000,26347.10000000,26378.58000000,190.37783000,1695698999999,5019677.99356120,5892,135.00176000,3559508.39604730,0,2023-09-26 03:15:00,1.000595724100653
534,1695699000,26378.57000000,26397.46000000,26373.60000000,26384.99000000,219.95850000,1695699899999,5803948.00656430,6441,110.10762000,2905117.60691210,0,2023-09-26 03:30:00,1.0000505995094313
535,1695699900,26384.98000000,26384.99000000,26353.86000000,26353.87000000,187.17840000,1695700799999,4934646.92364760,6032,57.64928000,1519717.84118110,0,2023-09-26 03:45:00,0.9994101122796573
536,1695700800,26353.87000000,26363.84000000,26339.87000000,26360.74000000,129.45412000,1695701699999,3411720.16948590,4610,59.81396000,1576283.98606380,0,2023-09-26 04:00:00,1.0002337354645758
537,1695701700,26360.75000000,26360.75000000,26337.16000000,26337.17000000,65.09916000,1695702599999,1715169.17737180,3822,26.57339000,700077.54749410,0,2023-09-26 04:15:00,0.9995526388472864
538,1695702600,26337.17000000,26341.59000000,26330.41000000,26338.65000000,84.13153000,1695703499999,2215677.37166170,3810,27.67398000,728791.37786350,0,2023-09-26 04:30:00,1.0000643582373132
539,1695703500,26338.64000000,26344.67000000,26337.23000000,26344.67000000,77.30509000,1695704399999,2036203.76765830,3716,32.02483000,843518.51634020,0,2023-09-26 04:45:00,1.0001278410587329
540,1695704400,26344.67000000,26349.34000000,26344.66000000,26349.00000000,66.73265000,1695705299999,1758234.63564840,3661,34.43801000,907342.18479040,0,2023-09-26 05:00:00,1.0000790415045706
541,1695705300,26349.01000000,26349.01000000,26332.63000000,26333.92000000,106.23193000,1695706199999,2798250.78169530,5068,45.59312000,1200910.64514050,0,2023-09-26 05:15:00,0.9997258091595685
542,1695706200,26333.92000000,26340.08000000,26322.00000000,26335.53000000,147.66809000,1695707099999,3888333.48335070,5526,79.40898000,2090969.98641450,0,2023-09-26 05:30:00,1.0001005396959486
543,1695707100,26335.53000000,26335.53000000,26307.67000000,26320.90000000,116.11430000,1695707999999,3055916.07259900,5138,37.51965000,987423.39442580,0,2023-09-26 05:45:00,0.9998477677461924
544,1695708000,26320.91000000,26339.06000000,26308.60000000,26310.75000000,118.24708000,1695708899999,3112699.77811110,5449,62.57760000,1647319.90142780,0,2023-09-26 06:00:00,0.9996550129693086
545,1695708900,26310.74000000,26312.54000000,26290.08000000,26293.06000000,178.48892000,1695709799999,4694098.69926920,6455,73.91325000,1943784.42059200,0,2023-09-26 06:15:00,0.9996751148836733
546,1695709800,26293.07000000,26295.35000000,26270.79000000,26286.94000000,133.37605000,1695710699999,3505583.78749660,5918,63.49196000,1668680.98135340,0,2023-09-26 06:30:00,1.0000153120204591
547,1695710700,26286.95000000,26292.90000000,26270.32000000,26292.90000000,139.43052000,1695711599999,3664681.61454600,6323,62.65749000,1646779.52621300,0,2023-09-26 06:45:00,1.0002713445593705
548,1695711600,26292.90000000,26292.90000000,26271.62000000,26277.87000000,125.01415000,1695712499999,3285349.31336090,5690,58.21316000,1529783.04502510,0,2023-09-26 07:00:00,0.9997735298965741
549,1695712500,26277.88000000,26289.87000000,26272.39000000,26279.92000000,129.74279000,1695713399999,3409775.08911000,5409,47.36191000,1244684.18703280,0,2023-09-26 07:15:00,0.9999963850857772
550,1695713400,26279.91000000,26279.92000000,26258.42000000,26260.90000000,181.84326000,1695714299999,4776330.18199930,6406,67.98574000,1785836.99349860,0,2023-09-26 07:30:00,0.9996616835975549
551,1695714300,26260.90000000,26283.76000000,26253.64000000,26272.01000000,137.56925000,1695715199999,3613495.73802070,5746,82.26070000,2160615.85545850,0,2023-09-26 07:45:00,1.0001687441485612
552,1695715200,26272.00000000,26285.54000000,26267.72000000,26275.61000000,161.58531000,1695716099999,4245364.14041230,6166,86.28527000,2266969.78215000,0,2023-09-26 08:00:00,1.0000149380304846
553,1695716100,26275.62000000,26275.62000000,26257.61000000,26259.11000000,153.55230000,1695716999999,4033091.47673160,5562,71.52299000,1878540.39840980,0,2023-09-26 08:15:00,0.9997000036928481
554,1695717000,26259.11000000,26276.56000000,26255.00000000,26274.15000000,108.84632000,1695717899999,2858890.72143710,5745,59.95126000,1574570.92546460,0,2023-09-26 08:30:00,1.0003024799357196
555,1695717900,26274.15000000,26282.86000000,26274.14000000,26274.29000000,142.25071000,1695718799999,3738412.65672050,5135,65.82254000,1729838.36788300,0,2023-09-26 08:45:00,0.9999212219652951
556,1695718800,26274.28000000,26277.81000000,26230.01000000,26230.39000000,276.20647000,1695719699999,7249754.61855850,7794,63.23543000,1660012.55852390,0,2023-09-26 09:00:00,0.9991341030005099
557,1695719700,26230.40000000,26255.18000000,26226.54000000,26247.30000000,217.05556000,1695720599999,5695685.32147560,7624,111.23346000,2918841.74729890,0,2023-09-26 09:15:00,1.000283728702007
558,1695720600,26247.31000000,26309.49000000,26244.27000000,26297.08000000,244.73017000,1695721499999,6431384.70091170,9178,157.40006000,4136308.86492050,0,2023-09-26 09:30:00,1.0008579599165162
559,1695721500,26297.07000000,26334.75000000,26265.00000000,26272.07000000,212.21626000,1695722399999,5580655.03450620,10437,111.44478000,2930589.72058590,0,2023-09-26 09:45:00,0.9992335185813979
560,1695722400,26272.07000000,26278.03000000,26255.18000000,26255.19000000,150.72733000,1695723299999,3958912.74201780,5729,84.09858000,2208834.52590380,0,2023-09-26 10:00:00,0.9996220272001448
561,1695723300,26255.20000000,26255.20000000,26225.63000000,26245.70000000,206.07925000,1695724199999,5407240.94969930,8396,89.29296000,2342917.72991140,0,2023-09-26 10:15:00,1.000010192249642
562,1695724200,26245.70000000,26259.51000000,26235.90000000,26246.54000000,185.84309000,1695725099999,4878293.60416810,6837,56.45363000,1481778.90427280,0,2023-09-26 10:30:00,0.9999858078545428
563,1695725100,26246.53000000,26254.42000000,26240.42000000,26249.77000000,109.67955000,1695725999999,2878747.84579330,5274,60.26181000,1581667.21816270,0,2023-09-26 10:45:00,1.0000756254289649
564,1695726000,26249.77000000,26249.77000000,26188.26000000,26195.45000000,439.75182000,1695726899999,11526315.13882460,10772,129.81470000,3402091.58119900,0,2023-09-26 11:00:00,0.9990327340161561
565,1695726900,26195.45000000,26227.96000000,26190.83000000,26226.90000000,142.31459000,1695727799999,3730568.44022090,6474,81.59737000,2138856.77075500,0,2023-09-26 11:15:00,1.0006339114588034
566,1695727800,26226.90000000,26288.98000000,26225.07000000,26250.00000000,226.00258000,1695728699999,5933646.04056120,8030,114.67228000,3010429.13278430,0,2023-09-26 11:30:00,1.0000861979056292
567,1695728700,26250.00000000,26273.83000000,26230.00000000,26273.83000000,146.71179000,1695729599999,3850587.58868090,6738,60.00497000,1574994.74371240,0,2023-09-26 11:45:00,1.000644211248732
568,1695729600,26273.82000000,26306.39000000,26260.15000000,26260.15000000,253.40430000,1695730499999,6659676.40717190,8148,125.47118000,3297595.35501160,0,2023-09-26 12:00:00,0.9994299742218187
569,1695730500,26260.16000000,26288.65000000,26253.14000000,26262.00000000,148.56040000,1695731399999,3903044.88257370,7938,78.85417000,2071604.85609090,0,2023-09-26 12:15:00,0.9998481876990156
570,1695731400,26262.01000000,26262.01000000,26200.00000000,26230.83000000,297.79212000,1695732299999,7809240.20844380,11138,124.66907000,3268853.44892630,0,2023-09-26 12:30:00,0.9996995851073106
571,1695732300,26230.84000000,26232.00000000,26205.00000000,26213.19000000,186.20040000,1695733199999,4881500.98403450,7311,102.50876000,2687328.46559860,0,2023-09-26 12:45:00,0.9997304564991399
572,1695733200,26213.18000000,26213.19000000,26193.57000000,26198.96000000,252.03342000,1695734099999,6603985.89534830,7306,120.74081000,3163786.67108530,0,2023-09-26 13:00:00,0.9997800015073618
573,1695734100,26198.96000000,26218.38000000,26191.43000000,26197.17000000,160.40703000,1695734999999,4203690.25926730,6343,94.55722000,2477956.58807670,0,2023-09-26 13:15:00,0.9998353146777749
574,1695735000,26197.16000000,26253.35000000,26165.00000000,26247.15000000,553.11212000,1695735899999,14503546.16452360,14739,304.26712000,7977436.95276790,0,2023-09-26 13:30:00,1.0012009994787467
575,1695735900,26247.15000000,26257.49000000,26142.07000000,26181.55000000,483.56419000,1695736799999,12674105.49814620,14933,221.79336000,5814011.78103470,0,2023-09-26 13:45:00,0.9990264075736828
576,1695736800,26181.55000000,26214.99000000,26150.43000000,26156.51000000,411.88617000,1695737699999,10782265.28436330,14250,210.15047000,5501474.64788660,0,2023-09-26 14:00:00,0.9992603875248464
577,1695737700,26156.52000000,26186.00000000,26120.11000000,26156.38000000,407.73274000,1695738599999,10658782.79159360,14234,244.66305000,6395517.45593090,0,2023-09-26 14:15:00,1.0000622257847784
578,1695738600,26156.38000000,26184.80000000,26145.00000000,26184.79000000,278.99210000,1695739499999,7301462.00142850,9464,157.41853000,4119616.21690940,0,2023-09-26 14:30:00,1.0006514700303246
579,1695739500,26184.80000000,26205.24000000,26180.50000000,26196.39000000,270.56477000,1695740399999,7086456.92894500,7901,167.35423000,4383208.20356940,0,2023-09-26 14:45:00,1.0001778232883218
580,1695740400,26196.40000000,26204.22000000,26155.66000000,26177.11000000,196.23848000,1695741299999,5136897.21421530,7606,98.13049000,2568284.96600770,0,2023-09-26 15:00:00,0.9997617760677849
581,1695741300,26177.11000000,26199.22000000,26121.49000000,26123.80000000,213.67025000,1695742199999,5591389.92301050,8662,75.15280000,1966774.51139260,0,2023-09-26 15:15:00,0.9987916455508908
582,1695742200,26123.80000000,26162.99000000,26116.16000000,26141.65000000,280.08211000,1695743099999,7321653.01794700,10114,133.61924000,3492551.45207590,0,2023-09-26 15:30:00,1.0002104365026985
583,1695743100,26141.66000000,26151.69000000,26088.34000000,26126.66000000,559.02984000,1695743999999,14601326.94847000,13210,174.80919000,4566037.91237290,0,2023-09-26 15:45:00,0.9999836376710568
584,1695744000,26126.66000000,26182.63000000,26115.00000000,26182.62000000,221.86148000,1695744899999,5803391.46622690,7385,123.70432000,3235600.01933110,0,2023-09-26 16:00:00,1.001181279515856
585,1695744900,26182.63000000,26260.00000000,26182.62000000,26232.12000000,540.27201000,1695745799999,14170199.71310530,12684,328.43309000,8613827.53429350,0,2023-09-26 16:15:00,1.0006781592939056
586,1695745800,26232.12000000,26295.99000000,26212.54000000,26265.00000000,305.47335000,1695746699999,8021861.38118510,11829,165.22960000,4338934.30260050,0,2023-09-26 16:30:00,1.0005175911962834
587,1695746700,26265.00000000,26278.22000000,26216.51000000,26217.95000000,209.90239000,1695747599999,5510427.67943880,9804,64.19869000,1685526.98218290,0,2023-09-26 16:45:00,0.9989914046490646
588,1695747600,26217.95000000,26264.99000000,26217.95000000,26240.00000000,230.30483000,1695748499999,6044602.09862310,7719,121.21541000,3181080.08216840,0,2023-09-26 17:00:00,1.0001821025150444
589,1695748500,26240.00000000,26241.82000000,26211.31000000,26211.79000000,135.57705000,1695749399999,3555957.03173370,6955,52.44627000,1375558.76026930,0,2023-09-26 17:15:00,0.9994494061860969
590,1695749400,26211.78000000,26224.40000000,26144.24000000,26147.41000000,274.16528000,1695750299999,7180272.10603290,9505,71.80830000,1880920.77536960,0,2023-09-26 17:30:00,0.998680484451936
591,1695750300,26147.41000000,26186.52000000,26147.40000000,26175.01000000,185.65618000,1695751199999,4858470.05985310,8048,78.66587000,2058540.83752740,0,2023-09-26 17:45:00,1.000417557120763
592,1695751200,26175.00000000,26207.67000000,26158.43000000,26166.68000000,214.86593000,1695752099999,5625637.23472180,7743,79.05492000,2069771.34279330,0,2023-09-26 18:00:00,0.9996078610395522
593,1695752100,26166.67000000,26186.19000000,26150.00000000,26150.01000000,166.45317000,1695752999999,4356837.72754180,6307,58.49597000,1531117.28279350,0,2023-09-26 18:15:00,0.9994951882351626
594,1695753000,26150.01000000,26159.30000000,26144.96000000,26148.52000000,122.76795000,1695753899999,3210525.77146540,5250,49.20294000,1286690.97466380,0,2023-09-26 18:30:00,0.9999167326225238
595,1695753900,26148.51000000,26184.99000000,26148.51000000,26184.98000000,134.34811000,1695754799999,3515383.26473510,6110,66.08692000,1729090.32906510,0,2023-09-26 18:45:00,1.0006967812870133
596,1695754800,26184.99000000,26226.34000000,26170.64000000,26190.28000000,157.34615000,1695755699999,4121525.64037260,7400,71.68176000,1877651.55024390,0,2023-09-26 19:00:00,0.9998937695811629
597,1695755700,26190.28000000,26213.00000000,26190.27000000,26205.02000000,104.27465000,1695756599999,2732373.08562570,5731,48.74201000,1277099.51748070,0,2023-09-26 19:15:00,1.0002052508922592
598,1695756600,26205.01000000,26250.94000000,26205.01000000,26242.89000000,167.35673000,1695757499999,4390134.73214130,7070,87.45607000,2293883.97247100,0,2023-09-26 19:30:00,1.0006454481889846
599,1695757500,26242.88000000,26275.72000000,26226.44000000,26247.70000000,239.58556000,1695758399999,6289410.14166320,8424,108.21868000,2840783.39403920,0,2023-09-26 19:45:00,0.9999815225319388
600,1695758400,26247.70000000,26288.68000000,26243.81000000,26266.99000000,279.49819000,1695759299999,7341755.85499600,10102,123.05076000,3232124.39520890,0,2023-09-26 20:00:00,1.0001978158766376
601,1695759300,26266.98000000,26274.26000000,26216.25000000,26237.44000000,157.09429000,1695760199999,4122817.35865670,7451,68.89095000,1807758.68125060,0,2023-09-26 20:15:00,0.9995697887507521
602,1695760200,26237.44000000,26255.00000000,26227.91000000,26231.33000000,128.94152000,1695761099999,3383655.46128320,5592,57.13919000,1499318.19599560,0,2023-09-26 20:30:00,0.9997488367980388
603,1695761100,26231.32000000,26242.27000000,26152.94000000,26164.19000000,259.20757000,1695761999999,6787872.34387920,10018,105.73689000,2768662.91539590,0,2023-09-26 20:45:00,0.9987216425271245
604,1695762000,26164.19000000,26181.71000000,26156.00000000,26172.85000000,151.19320000,1695762899999,3957186.33919690,5795,70.91699000,1856042.92798650,0,2023-09-26 21:00:00,1.0001590641487081
605,1695762900,26172.86000000,26178.15000000,26100.00000000,26151.43000000,303.73721000,1695763799999,7938585.06247990,11946,125.65355000,3284176.25450170,0,2023-09-26 21:15:00,1.0000313568211219
606,1695763800,26151.43000000,26190.00000000,26145.44000000,26182.73000000,123.24457000,1695764699999,3226097.10710050,6285,52.38868000,1370975.49792140,0,2023-09-26 21:30:00,1.0005858434540686
607,1695764700,26182.74000000,26192.71000000,26165.39000000,26165.40000000,88.54741000,1695765599999,2317999.97162040,5157,15.91055000,416570.45414080,0,2023-09-26 21:45:00,0.9995736643775959
