Tipo de Operação,Preço de Compra,Saldo,Ativo em Carteira,high real,Lucro,Valor Previsto,Valor Real,Diferença
Compra (0),27732.16,0.0,0.03653836132972958,27741.94,,,,
(Periodo atual: 3),,1011.8721864159597,,27697.7,11.872186415959732,27780.49237712867,27693.42,87.07237712867209
Compra (0),27677.67,0.0,0.03655915351313748,27702.26,,,,
(Periodo atual: 3),,1011.6630680578647,,27707.1,11.663068057864734,27731.86952599911,27671.95,59.91952599911019
Compra (0),27651.73,0.0,0.03658588696106409,27680.0,,,,
(Periodo atual: 3),,1012.8634510090573,,27684.54,12.863451009057258,27704.987967107147,27684.54,20.447967107145814
Compra (0),27692.91,0.0,0.036574829117238215,27698.25,,,,
(Periodo atual: 3),,1012.6286406061247,,27697.54,12.62864060612469,27735.332597578737,27686.49,48.84259757873588
Compra (0),27641.31,0.0,0.03663461104434358,27686.5,,,,
(Periodo atual: 3),,1013.2737761066155,,27660.35,13.273776106615514,27707.65817717232,27658.92,48.73817717232305
Compra (0),27660.75,0.0,0.03663218734512316,27665.0,,,,
(Periodo atual: 3),,1010.738828742333,,27602.12,10.738828742332998,27694.852172205552,27591.55,103.30217220555278
Compra (0),27607.98,0.0,0.0366103868788058,27610.33,,,,
(Periodo atual: 3),,1011.6665359458419,,27635.85,11.666535945841929,27645.99946267705,27633.32,12.679462677049742
Compra (0),27649.63,0.0,0.03658879109578833,27666.0,,,,
(Periodo atual: 3),,1012.6021113341612,,27707.48,12.602111334161236,27699.634807588758,27675.2,24.434807588757394
Compra (0),27684.68,0.0,0.03657626208192261,27700.0,,,,
(Periodo atual: 3),,1013.0516335951482,,27701.03,13.051633595148246,27728.826193128738,27696.97,31.856193128736777
Compra (0),27736.98,0.0,0.03652350160670514,27746.83,,,,
(Periodo atual: 3),,1014.0432466637703,,27774.55,14.043246663770333,27787.49709204922,27764.13,23.367092049218627
Compra (0),27725.68,0.0,0.03657415243426925,27764.13,,,,
(Periodo atual: 3),,1012.9917397812851,,27715.24,12.991739781285105,27786.858926532524,27696.93,89.9289265325242
Compra (0),27724.35,0.0,0.03653797978243981,27724.57,,,,
(Periodo atual: 3),,1021.2979187252273,,28099.0,21.297918725227305,27760.830222485773,27951.68,-190.84977751422775
Compra (0),27992.76,0.0,0.03648435948170982,28024.73,,,,
(Periodo atual: 3),,1020.4671698598289,,28087.29,20.467169859828914,28085.980156380378,27969.99,115.99015638037599
Compra (0),27960.61,0.0,0.03649659896046005,28008.0,,,,
(Periodo atual: 3),,1006.676929942619,,27669.64,6.67692994261904,28033.992753068014,27582.76,451.2327530680159
Compra (0),27555.0,0.0,0.036533367081931375,27620.59,,,,
(Periodo atual: 3),,1001.5385118625453,,27527.37,1.538511862545306,27645.040608152518,27414.35,230.69060815251942
Compra (0),27446.63,0.0,0.036490400164338764,27457.22,,,,
(Periodo atual: 3),,1004.6336276044844,,27535.89,4.633627604484445,27501.7203120758,27531.45,-29.729687924202153
Compra (0),27483.43,0.0,0.03655415745430918,27532.36,,,,
(Periodo atual: 3),,1006.1122432735114,,27535.52,6.112243273511353,27557.226156951157,27523.88,33.346156951156445
Compra (0),27495.08,0.0,0.0365924464767337,27530.0,,,,
(Periodo atual: 3),,1004.6093914967117,,27521.24,4.609391496711737,27555.40720602976,27454.01,101.39720602976013
Compra (0),27471.28,0.0,0.03656944239572062,27485.3,,,,
(Periodo atual: 3),,1003.4768358657165,,27452.92,3.4768358657164526,27521.912516632703,27440.31,81.60251663270174
Compra (0),27472.65,0.0,0.036526393917795205,27472.91,,,,
(Periodo atual: 3),,1003.1692836289286,,27490.0,3.1692836289286106,27511.314334373707,27464.23,47.08433437370695
Compra (0),27450.0,0.0,0.036545329093950044,27468.9,,,,
(Periodo atual: 3),,1003.8011523689631,,27468.2,3.8011523689631304,27494.763208905653,27467.29,27.473208905652427
